iter	MultiClass
0	2.260074426
1	2.159457891
2	2.082530298
3	2.020189983
4	1.974124623
5	1.930877477
6	1.895313892
7	1.865303503
8	1.839895323
9	1.818720903
10	1.799799834
11	1.783341401
12	1.76878038
13	1.756276471
14	1.745698705
15	1.734380934
16	1.72480335
17	1.716938561
18	1.709860756
19	1.703672675
20	1.699537764
21	1.694672327
22	1.689849976
23	1.685673963
24	1.682089343
25	1.678723571
26	1.67632013
27	1.67345585
28	1.670427152
29	1.668184658
30	1.665497371
31	1.663112165
32	1.66115127
33	1.658995268
34	1.657419753
35	1.656421161
36	1.655235232
37	1.653999275
38	1.652652451
39	1.651993215
40	1.650941141
41	1.650038172
42	1.649048488
43	1.6479137
44	1.646742785
45	1.645915312
46	1.645204518
47	1.643660043
48	1.642444365
49	1.641476523
50	1.64050312
51	1.639803508
52	1.638824288
53	1.638115339
54	1.637538976
55	1.636901786
56	1.63610444
57	1.63528561
58	1.635153254
59	1.634758703
60	1.634207393
61	1.633421938
62	1.632766321
63	1.632329941
64	1.631950014
65	1.631208064
66	1.630443965
67	1.629692062
68	1.628835737
69	1.628378168
70	1.627938189
71	1.627365585
72	1.62679652
73	1.626231066
74	1.625658364
75	1.625223238
76	1.624658778
77	1.623991354
78	1.623337993
79	1.622712366
80	1.622379975
81	1.622076536
82	1.621669578
83	1.620879606
84	1.620542901
85	1.620065169
86	1.619577247
87	1.619234869
88	1.618640543
89	1.618233065
90	1.617786837
91	1.617546187
92	1.617345304
93	1.617061061
94	1.61664029
95	1.616207677
96	1.615912993
97	1.615531749
98	1.614995672
99	1.614718399
100	1.614139925
101	1.613152318
102	1.612771147
103	1.612404467
104	1.612167409
105	1.611655344
106	1.611484352
107	1.611273536
108	1.610746204
109	1.610602976
110	1.610195466
111	1.609826208
112	1.609440132
113	1.608789532
114	1.608318992
115	1.607948969
116	1.60759785
117	1.607116196
118	1.606742692
119	1.60634151
120	1.606006161
121	1.605454877
122	1.605194745
123	1.604868504
124	1.60438367
125	1.6041755
126	1.603667112
127	1.602970264
128	1.602200082
129	1.601930261
130	1.60164981
131	1.601130228
132	1.600659568
133	1.600149089
134	1.599954829
135	1.599442416
136	1.599089608
137	1.598572105
138	1.598057421
139	1.597790989
140	1.597367135
141	1.596920006
142	1.596560155
143	1.596254198
144	1.595734296
145	1.59536574
146	1.595019655
147	1.594690608
148	1.594328746
149	1.593823849
150	1.593566669
151	1.593191076
152	1.593037482
153	1.592896705
154	1.59263872
155	1.592250981
156	1.591923678
157	1.591732859
158	1.591402626
159	1.590884262
160	1.590423315
161	1.590183226
162	1.58993718
163	1.589706808
164	1.589479777
165	1.589264709
166	1.588790378
167	1.588504312
168	1.58802436
169	1.587723236
170	1.587547553
171	1.58726374
172	1.58687983
173	1.586383104
174	1.586225953
175	1.586030121
176	1.58583752
177	1.585457003
178	1.585166177
179	1.584956142
180	1.584811522
181	1.58448022
182	1.584167162
183	1.583846387
184	1.583553522
185	1.583220364
186	1.58282946
187	1.582411416
188	1.582127607
189	1.581784541
190	1.581459704
191	1.581221056
192	1.580971839
193	1.580740962
194	1.580515494
195	1.580137111
196	1.58004829
197	1.579599803
198	1.579262007
199	1.578780366
200	1.578670616
201	1.578430166
202	1.578110104
203	1.577995975
204	1.577590409
205	1.577291576
206	1.576891884
207	1.576455419
208	1.576070532
209	1.575760619
210	1.575480524
211	1.575084352
212	1.574907465
213	1.574655617
214	1.574133002
215	1.573640648
216	1.573277511
217	1.573102857
218	1.572842244
219	1.572619988
220	1.572071016
221	1.571672112
222	1.571197935
223	1.570930384
224	1.570738518
225	1.570166589
226	1.569984629
227	1.569651993
228	1.569491239
229	1.569156365
230	1.568759718
231	1.568250749
232	1.567845258
233	1.567415324
234	1.567125583
235	1.566675226
236	1.566333948
237	1.56623973
238	1.56595455
239	1.565629337
240	1.565476586
241	1.565165707
242	1.56487872
243	1.564529205
244	1.564200056
245	1.563840592
246	1.563525094
247	1.563054847
248	1.562778996
249	1.562508028
250	1.562294757
251	1.561992358
252	1.561701994
253	1.561244665
254	1.560843061
255	1.560667068
256	1.560409851
257	1.560261333
258	1.560059071
259	1.559959024
260	1.559621706
261	1.559305746
262	1.559111279
263	1.558983779
264	1.558858907
265	1.558601345
266	1.558454307
267	1.558172834
268	1.557879005
269	1.55763532
270	1.557292586
271	1.557006084
272	1.556832612
273	1.556447266
274	1.556185221
275	1.555803661
276	1.555550766
277	1.555264871
278	1.554909401
279	1.554584583
280	1.55423652
281	1.553784661
282	1.553559947
283	1.553356865
284	1.553113354
285	1.552982376
286	1.552748498
287	1.552565436
288	1.552157102
289	1.551831608
290	1.551431993
291	1.551315703
292	1.551152218
293	1.550851502
294	1.550409897
295	1.550178163
296	1.549810316
297	1.549606698
298	1.549385074
299	1.549163583
