iter	Passed	Remaining
0	29	29949
1	60	29970
2	89	29709
3	123	30827
4	158	31513
5	187	31064
6	217	30924
7	247	30739
8	277	30586
9	307	30482
10	337	30335
11	368	30314
12	399	30355
13	430	30310
14	462	30338
15	493	30324
16	524	30330
17	556	30357
18	589	30426
19	622	30489
20	656	30584
21	688	30612
22	721	30644
23	752	30614
24	785	30615
25	817	30640
26	851	30669
27	884	30691
28	917	30707
29	949	30716
30	983	30739
31	1016	30753
32	1050	30780
33	1083	30779
34	1118	30830
35	1152	30859
36	1184	30820
37	1216	30785
38	1248	30753
39	1281	30763
40	1314	30757
41	1347	30746
42	1381	30755
43	1417	30792
44	1449	30759
45	1480	30708
46	1513	30694
47	1546	30681
48	1580	30676
49	1613	30655
50	1649	30700
51	1682	30674
52	1714	30631
53	1746	30592
54	1778	30565
55	1812	30546
56	1845	30524
57	1879	30519
58	1900	30315
59	1933	30286
60	1965	30261
61	1998	30230
62	2029	30188
63	2061	30142
64	2094	30126
65	2127	30107
66	2160	30090
67	2193	30065
68	2226	30044
69	2259	30024
70	2292	29999
71	2326	29986
72	2359	29968
73	2395	29972
74	2426	29930
75	2459	29896
76	2491	29869
77	2525	29851
78	2558	29830
79	2591	29804
80	2626	29796
81	2660	29782
82	2691	29737
83	2724	29707
84	2757	29684
85	2790	29658
86	2824	29636
87	2856	29607
88	2890	29586
89	2923	29557
90	2956	29535
91	2989	29506
92	3022	29479
93	3056	29454
94	3089	29431
95	3122	29402
96	3156	29386
97	3188	29350
98	3222	29325
99	3255	29295
100	3288	29267
101	3320	29237
102	3353	29207
103	3392	29226
104	3425	29195
105	3456	29155
106	3488	29112
107	3520	29076
108	3553	29051
109	3586	29020
110	3620	28999
111	3655	28982
112	3686	28940
113	3719	28906
114	3752	28878
115	3785	28848
116	3818	28816
117	3851	28788
118	3883	28749
119	3916	28717
120	3948	28686
121	3981	28653
122	4013	28616
123	4045	28582
124	4078	28550
125	4110	28514
126	4142	28479
127	4180	28477
128	4222	28511
129	4255	28481
130	4288	28446
131	4320	28413
132	4354	28383
133	4388	28362
134	4420	28325
135	4453	28293
136	4486	28264
137	4520	28234
138	4553	28204
139	4584	28164
140	4615	28121
141	4648	28090
142	4681	28056
143	4714	28026
144	4747	27995
145	4781	27968
146	4814	27935
147	4848	27910
148	4881	27878
149	4914	27848
150	4946	27813
151	4979	27783
152	5012	27746
153	5044	27711
154	5077	27678
155	5109	27645
156	5141	27609
157	5175	27580
158	5207	27544
159	5240	27512
160	5273	27478
161	5305	27441
162	5336	27405
163	5370	27375
164	5403	27343
165	5436	27311
166	5468	27279
167	5501	27243
168	5533	27209
169	5565	27173
170	5598	27140
171	5631	27109
172	5665	27082
173	5698	27049
174	5729	27008
175	5760	26968
176	5792	26934
177	5826	26905
178	5858	26872
179	5891	26837
180	5924	26807
181	5956	26772
182	5989	26738
183	6021	26704
184	6054	26670
185	6086	26635
186	6118	26601
187	6152	26572
188	6185	26544
189	6218	26511
190	6251	26479
191	6285	26450
192	6320	26428
193	6352	26393
194	6384	26357
195	6417	26325
196	6449	26290
197	6482	26256
198	6514	26222
199	6548	26193
200	6580	26157
201	6612	26121
202	6644	26085
203	6677	26053
204	6709	26020
205	6741	25983
206	6772	25945
207	6805	25912
208	6837	25879
209	6871	25848
210	6904	25817
211	6937	25785
212	6970	25754
213	7003	25723
214	7036	25692
215	7069	25660
216	7102	25628
217	7135	25597
218	7170	25570
219	7202	25535
220	7236	25507
221	7268	25473
222	7301	25442
223	7334	25409
224	7368	25380
225	7402	25350
226	7434	25315
227	7467	25284
228	7500	25251
229	7533	25220
230	7566	25190
231	7600	25159
232	7633	25127
233	7666	25096
234	7699	25065
235	7733	25035
236	7765	24999
237	7797	24966
238	7830	24933
239	7862	24899
240	7894	24862
241	7927	24829
242	7959	24795
243	7991	24759
244	8023	24725
245	8055	24689
246	8087	24654
247	8119	24621
248	8152	24587
249	8186	24558
250	8217	24522
251	8248	24484
252	8281	24450
253	8313	24417
254	8347	24387
255	8379	24352
256	8411	24318
257	8444	24285
258	8476	24251
259	8508	24216
260	8541	24183
261	8574	24151
262	8606	24118
263	8638	24083
264	8670	24048
265	8702	24014
266	8735	23980
267	8766	23945
268	8799	23913
269	8831	23877
270	8862	23841
271	8895	23807
272	8928	23775
273	8961	23743
274	8993	23710
275	9026	23677
276	9059	23645
277	9091	23610
278	9123	23577
279	9155	23543
280	9187	23509
281	9221	23478
282	9253	23445
283	9285	23410
284	9317	23375
285	9349	23341
286	9381	23305
287	9414	23273
288	9446	23240
289	9480	23209
290	9510	23172
291	9542	23137
292	9574	23103
293	9607	23071
294	9640	23038
295	9672	23005
296	9705	22973
297	9739	22943
298	9771	22910
299	9804	22876
300	9836	22842
301	9868	22807
302	9900	22774
303	9932	22741
304	9964	22706
305	9997	22673
306	10029	22640
307	10061	22605
308	10093	22572
309	10126	22539
310	10159	22507
311	10193	22477
312	10226	22445
313	10259	22413
314	10290	22377
315	10321	22342
316	10354	22310
317	10386	22275
318	10420	22245
319	10452	22211
320	10485	22178
321	10517	22145
322	10549	22111
323	10581	22077
324	10614	22044
325	10645	22010
326	10678	21977
327	10711	21945
328	10743	21912
329	10777	21880
330	10809	21848
331	10841	21813
332	10873	21779
333	10905	21744
334	10936	21709
335	10968	21675
336	11001	21644
337	11033	21609
338	11066	21577
339	11098	21544
340	11131	21512
341	11163	21478
342	11197	21447
343	11229	21413
344	11261	21379
345	11293	21346
346	11327	21316
347	11369	21301
348	11403	21272
349	11437	21240
350	11468	21205
351	11499	21170
352	11532	21138
353	11565	21104
354	11598	21073
355	11631	21041
356	11665	21010
357	11698	20979
358	11731	20947
359	11764	20915
360	11797	20882
361	11829	20848
362	11861	20814
363	11894	20782
364	11926	20749
365	11960	20718
366	11991	20683
367	12024	20650
368	12056	20617
369	12088	20582
370	12120	20549
371	12153	20517
372	12184	20482
373	12217	20449
374	12249	20416
375	12281	20381
376	12312	20346
377	12345	20313
378	12378	20282
379	12411	20249
380	12443	20216
381	12476	20184
382	12508	20150
383	12540	20117
384	12572	20083
385	12604	20049
386	12636	20016
387	12668	19982
388	12700	19949
389	12733	19916
390	12765	19882
391	12797	19848
392	12828	19814
393	12859	19779
394	12891	19745
395	12925	19713
396	12959	19683
397	12991	19651
398	13025	19619
399	13058	19587
400	13090	19554
401	13123	19521
402	13155	19488
403	13187	19455
404	13220	19423
405	13255	19393
406	13287	19359
407	13318	19325
408	13351	19293
409	13383	19259
410	13416	19226
411	13450	19196
412	13483	19164
413	13516	19131
414	13548	19098
415	13580	19065
416	13613	19032
417	13644	18998
418	13676	18964
419	13708	18930
420	13742	18899
421	13773	18864
422	13804	18830
423	13837	18798
424	13870	18766
425	13903	18733
426	13935	18700
427	13969	18668
428	14001	18635
429	14033	18602
430	14065	18568
431	14097	18535
432	14129	18502
433	14161	18469
434	14194	18436
435	14227	18404
436	14259	18370
437	14290	18336
438	14323	18304
439	14356	18272
440	14395	18246
441	14429	18216
442	14471	18195
443	14506	18165
444	14543	18138
445	14578	18108
446	14610	18075
447	14642	18042
448	14675	18009
449	14706	17975
450	14740	17943
451	14771	17909
452	14807	17879
453	14838	17845
454	14871	17812
455	14902	17778
456	14934	17744
457	14966	17711
458	15000	17680
459	15037	17652
460	15070	17620
461	15102	17587
462	15134	17553
463	15166	17520
464	15198	17486
465	15232	17454
466	15266	17423
467	15298	17390
468	15331	17358
469	15364	17325
470	15397	17293
471	15430	17261
472	15463	17229
473	15496	17196
474	15529	17164
475	15561	17130
476	15594	17098
477	15625	17064
478	15658	17031
479	15691	16998
480	15723	16966
481	15756	16933
482	15789	16901
483	15821	16867
484	15853	16834
485	15886	16802
486	15918	16768
487	15950	16735
488	15982	16702
489	16015	16669
490	16046	16635
491	16078	16600
492	16110	16568
493	16143	16535
494	16176	16503
495	16208	16470
496	16242	16438
497	16275	16406
498	16308	16373
